dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain
1751619600,"{'temp': 300.71, 'feels_like': 300.63, 'temp_min': 300.71, 'temp_max': 300.71, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 888, 'humidity': 43, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 66},"{'speed': 3.53, 'deg': 179, 'gust': 2.92}",10000,0.1,{'pod': 'd'},2025-07-04 09:00:00,
1751630400,"{'temp': 299.92, 'feels_like': 300.09, 'temp_min': 299.92, 'temp_max': 299.92, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 886, 'humidity': 45, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 67},"{'speed': 3.34, 'deg': 180, 'gust': 3.35}",10000,0.06,{'pod': 'd'},2025-07-04 12:00:00,
1751641200,"{'temp': 297.37, 'feels_like': 297.28, 'temp_min': 297.37, 'temp_max': 297.37, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 885, 'humidity': 55, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 66},"{'speed': 2.89, 'deg': 175, 'gust': 4.81}",10000,0.0,{'pod': 'd'},2025-07-04 15:00:00,
1751652000,"{'temp': 292.83, 'feels_like': 292.89, 'temp_min': 292.83, 'temp_max': 292.83, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 885, 'humidity': 78, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 55},"{'speed': 1.92, 'deg': 170, 'gust': 4.09}",10000,0.0,{'pod': 'n'},2025-07-04 18:00:00,
1751662800,"{'temp': 291.66, 'feels_like': 291.76, 'temp_min': 291.66, 'temp_max': 291.66, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 885, 'humidity': 84, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 10},"{'speed': 0.44, 'deg': 169, 'gust': 0.71}",10000,0.0,{'pod': 'n'},2025-07-04 21:00:00,
1751673600,"{'temp': 290.89, 'feels_like': 290.94, 'temp_min': 290.89, 'temp_max': 290.89, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 884, 'humidity': 85, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",{'all': 14},"{'speed': 0.6, 'deg': 61, 'gust': 0.79}",10000,0.0,{'pod': 'n'},2025-07-05 00:00:00,
1751684400,"{'temp': 290.63, 'feels_like': 290.6, 'temp_min': 290.63, 'temp_max': 290.63, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 884, 'humidity': 83, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 66},"{'speed': 0.49, 'deg': 13, 'gust': 0.54}",10000,0.01,{'pod': 'n'},2025-07-05 03:00:00,
1751695200,"{'temp': 296.33, 'feels_like': 296.24, 'temp_min': 296.33, 'temp_max': 296.33, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 887, 'humidity': 59, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 64},"{'speed': 1.43, 'deg': 14, 'gust': 2.13}",10000,0.23,{'pod': 'd'},2025-07-05 06:00:00,
1751706000,"{'temp': 302.4, 'feels_like': 301.83, 'temp_min': 302.4, 'temp_max': 302.4, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 888, 'humidity': 38, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 31},"{'speed': 1.98, 'deg': 159, 'gust': 2.1}",10000,0.28,{'pod': 'd'},2025-07-05 09:00:00,
1751716800,"{'temp': 298.43, 'feels_like': 298.35, 'temp_min': 298.43, 'temp_max': 298.43, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 885, 'humidity': 51, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 52},"{'speed': 3.07, 'deg': 168, 'gust': 4.55}",10000,0.35,{'pod': 'd'},2025-07-05 12:00:00,{'3h': 0.1}
